idCliente,idServidor,velocidad,distancia
268,286,900,6
269,286,300,5
270,286,300,8
271,286,600,10
272,286,300,5
273,286,600,5
274,286,600,7
275,286,900,3
276,286,900,8
277,286,600,7
278,286,300,3
279,286,900,4
280,286,300,4
281,286,300,5
282,286,600,4
283,286,300,4
284,286,900,3
285,286,300,1
287,297,900,7
288,297,900,2
289,297,900,4
290,297,600,8
291,297,600,9
292,297,600,2
293,297,900,7
294,297,900,7
295,297,600,10
296,297,300,1
6,14,1000,964
6,34,1000,229
6,53,2000,164
6,122,3000,15
6,124,3000,360
6,139,1000,168
6,151,1000,799
6,171,1000,201
6,187,2000,434
6,193,1000,530
6,199,1000,520
6,217,1000,557
6,228,1000,660
6,235,2000,443
6,239,1000,469
6,266,2000,398
6,297,3000,659
14,20,3000,602
14,38,2000,757
14,65,1000,329
14,84,1000,151
14,87,2000,426
14,106,1000,390
14,118,2000,558
14,122,1000,469
14,137,2000,652
14,167,3000,572
14,192,1000,361
14,207,2000,149
14,213,2000,519
14,246,1000,734
14,248,2000,766
14,254,1000,653
20,38,3000,160
20,40,1000,762
20,49,1000,332
20,69,3000,371
20,71,2000,291
20,72,3000,629
20,106,3000,453
20,122,2000,91
20,192,3000,271
20,199,2000,545
20,207,3000,147
20,212,1000,517
20,213,2000,114
20,228,2000,765
20,247,3000,626
20,248,1000,92
20,259,2000,138
20,263,3000,214
20,264,2000,908
20,266,1000,256
27,28,1000,300
27,49,2000,797
27,50,2000,658
27,53,1000,935
27,72,2000,81
27,118,1000,440
27,130,2000,43
27,150,1000,772
27,175,2000,818
27,192,3000,161
27,200,2000,782
27,251,1000,942
27,254,2000,765
27,266,3000,261
27,297,1000,924
28,34,2000,725
28,38,1000,970
28,65,3000,305
28,69,1000,777
28,79,2000,307
28,97,2000,750
28,106,3000,211
28,118,3000,963
28,124,2000,997
28,137,2000,990
28,150,1000,709
28,192,1000,569
28,217,3000,298
28,247,2000,804
28,248,3000,710
28,263,3000,431
34,40,2000,705
34,53,3000,761
34,84,2000,604
34,106,3000,190
34,118,2000,895
34,130,2000,504
34,139,2000,407
34,151,1000,786
34,165,3000,674
34,239,3000,486
34,246,2000,191
34,248,2000,842
34,259,1000,151
38,50,3000,99
38,69,1000,141
38,106,2000,30
38,124,1000,385
38,130,2000,505
38,200,1000,415
38,228,2000,115
38,239,2000,471
38,254,3000,690
38,264,2000,325
38,286,3000,604
40,50,1000,230
40,53,3000,629
40,97,1000,38
40,124,2000,933
40,130,1000,553
40,139,2000,92
40,174,2000,877
40,192,2000,727
40,200,3000,459
40,213,2000,66
40,217,1000,192
40,244,3000,789
40,248,1000,291
40,259,1000,644
40,266,2000,647
49,69,3000,174
49,150,3000,646
49,171,2000,816
49,174,3000,852
49,193,3000,277
49,207,2000,378
49,213,3000,929
49,217,1000,207
49,246,2000,831
49,248,2000,390
49,252,2000,77
49,254,2000,84
49,264,1000,729
49,297,2000,357
50,72,3000,786
50,97,3000,553
50,139,2000,263
50,150,2000,171
50,151,3000,115
50,171,2000,969
50,174,2000,375
50,187,2000,264
50,200,3000,352
50,239,3000,884
50,248,1000,482
50,251,1000,416
53,65,1000,127
53,69,3000,353
53,79,1000,356
53,160,1000,894
53,187,2000,110
53,192,2000,223
53,212,2000,237
53,228,1000,797
53,251,2000,721
53,254,3000,602
53,263,1000,729
53,286,1000,514
65,84,1000,290
65,106,3000,842
65,118,1000,156
65,151,2000,882
65,167,3000,63
65,174,2000,296
65,193,2000,419
65,200,1000,769
65,213,3000,327
65,235,2000,268
65,248,1000,378
65,255,2000,623
65,263,1000,448
65,266,3000,197
65,297,1000,732
69,84,1000,56
69,118,1000,76
69,122,1000,818
69,137,2000,28
69,151,3000,724
69,171,1000,369
69,207,2000,489
69,239,3000,775
69,246,1000,312
69,248,2000,873
71,79,1000,251
71,97,3000,42
71,122,1000,599
71,139,3000,665
71,184,2000,625
71,187,3000,89
71,192,1000,182
71,193,1000,746
71,199,2000,704
71,217,3000,944
71,244,3000,220
71,254,2000,230
71,259,3000,18
72,106,1000,348
72,130,1000,192
72,167,2000,469
72,171,1000,346
72,193,3000,332
72,212,3000,867
72,235,3000,805
72,246,1000,282
72,266,3000,872
72,286,1000,387
72,297,3000,562
79,84,2000,733
79,124,3000,268
79,139,1000,185
79,165,3000,774
79,192,3000,641
79,217,2000,613
79,228,2000,532
79,235,3000,831
79,244,3000,972
79,247,2000,622
79,248,1000,702
79,254,2000,369
79,297,1000,163
84,118,1000,216
84,124,1000,952
84,130,2000,430
84,150,1000,244
84,165,2000,568
84,167,3000,347
84,171,2000,42
84,184,1000,58
84,212,1000,225
84,239,2000,853
84,251,2000,656
84,252,3000,15
84,259,3000,907
84,264,1000,960
87,106,2000,582
87,124,1000,756
87,160,1000,871
87,174,1000,93
87,184,2000,663
87,213,1000,12
87,235,2000,115
87,244,2000,885
87,248,2000,341
87,251,3000,17
87,286,2000,487
97,122,3000,437
97,130,3000,95
97,165,2000,142
97,254,2000,819
97,266,2000,202
97,286,3000,705
106,167,2000,865
106,174,3000,10
106,175,1000,646
106,187,1000,874
106,192,2000,625
106,193,3000,544
106,228,1000,839
106,246,3000,613
106,264,1000,253
106,266,3000,479
106,297,1000,787
118,150,1000,458
118,160,2000,482
118,167,1000,409
118,171,1000,250
118,192,3000,297
118,199,3000,675
118,213,1000,694
118,217,2000,626
118,228,1000,330
118,251,3000,312
118,263,3000,241
118,286,1000,832
122,130,3000,277
122,171,1000,301
122,187,1000,762
122,199,2000,738
122,213,3000,262
122,235,1000,595
122,255,3000,497
122,264,2000,239
124,151,2000,128
124,174,2000,462
124,175,3000,757
124,187,2000,592
124,193,2000,589
124,217,2000,598
124,248,1000,248
124,254,2000,56
130,139,2000,878
130,150,1000,259
130,160,3000,149
130,193,3000,200
130,199,3000,270
130,248,3000,147
130,254,1000,679
130,266,3000,696
130,286,2000,599
137,151,1000,143
137,160,1000,663
137,192,1000,998
137,217,2000,648
137,228,1000,116
137,247,1000,438
137,286,3000,475
137,297,1000,599
139,151,3000,286
139,165,1000,48
139,184,3000,629
139,192,3000,917
139,193,2000,521
139,235,2000,1000
139,244,1000,676
139,251,2000,695
139,254,1000,90
150,174,2000,744
150,187,2000,700
150,193,1000,933
150,212,2000,221
150,246,3000,614
150,251,3000,703
150,263,1000,863
150,286,1000,987
151,175,2000,352
151,199,2000,199
151,200,1000,427
151,213,3000,774
151,235,3000,153
151,239,3000,820
151,247,3000,746
151,255,2000,936
151,266,3000,633
151,286,3000,670
160,165,1000,34
160,171,1000,736
160,174,3000,855
160,217,3000,672
160,228,2000,863
160,239,2000,185
160,244,2000,248
160,247,3000,536
160,255,3000,430
160,263,1000,348
160,266,2000,711
165,199,3000,887
165,235,2000,467
165,247,3000,612
165,263,3000,391
165,264,3000,680
167,174,1000,973
167,175,2000,947
167,207,1000,724
167,212,1000,577
167,259,1000,551
167,263,3000,497
171,199,1000,527
171,200,1000,653
171,207,2000,799
171,244,3000,469
171,246,3000,512
174,175,3000,930
174,207,1000,954
174,213,2000,59
174,217,3000,535
174,244,3000,285
174,247,1000,335
174,248,2000,266
174,255,2000,540
174,266,1000,760
174,286,2000,653
175,228,2000,937
175,246,2000,199
175,248,1000,319
175,255,1000,202
184,187,1000,542
184,246,3000,349
184,248,1000,736
184,251,1000,136
184,266,1000,309
187,193,3000,982
187,217,3000,955
187,235,2000,589
187,244,1000,223
187,246,3000,766
187,251,3000,764
187,259,2000,723
187,264,1000,897
187,286,1000,546
192,200,2000,736
192,235,3000,687
192,244,2000,905
192,247,3000,937
192,264,1000,458
193,207,3000,569
193,212,2000,464
193,217,2000,106
193,235,1000,383
193,248,3000,456
193,255,3000,828
193,263,2000,67
193,266,2000,482
193,286,1000,38
199,200,3000,281
199,239,3000,124
199,244,2000,584
199,248,3000,928
199,297,2000,155
200,207,2000,947
200,248,3000,718
200,252,3000,976
200,254,2000,377
207,217,2000,631
207,228,2000,478
207,246,1000,509
207,247,1000,354
207,252,3000,43
212,213,1000,695
212,217,3000,379
212,251,3000,186
212,254,3000,898
212,255,2000,112
212,286,3000,956
213,228,2000,762
213,235,3000,520
213,244,3000,85
213,247,3000,529
213,259,1000,998
213,266,3000,741
213,286,3000,219
217,246,3000,272
217,247,3000,750
217,248,2000,530
217,255,1000,506
217,259,3000,227
217,264,3000,276
228,239,3000,16
228,246,2000,151
228,251,3000,927
228,252,1000,785
228,266,3000,444
235,251,1000,525
235,266,1000,988
235,297,2000,844
239,246,3000,925
239,247,1000,112
239,248,2000,886
239,255,1000,476
239,264,3000,8
244,263,2000,651
244,264,3000,86
244,286,2000,772
247,248,2000,341
247,251,1000,127
247,254,2000,680
247,259,1000,931
248,254,2000,47
248,263,2000,557
248,264,2000,955
251,252,1000,834
251,259,3000,999
251,266,1000,305
251,286,3000,706
252,263,3000,27
254,255,2000,825
254,259,1000,568
255,259,1000,484
255,266,3000,283
255,286,3000,186
255,297,1000,780
259,286,1000,603
263,264,1000,907
266,286,3000,148
286,297,2000,487
